name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
lucene,2,org.apache.lucene.index.TermPositions,1,1,0,21,1,0,20,1,1,2,1,0,0,0,1,0,0,0,1,1,3
lucene,2,org.apache.lucene.analysis.TokenStream,3,1,2,19,4,3,18,1,3,2,7,0,0,0,1,0,0,1.333333333,1,0.6667,1
lucene,2,org.apache.lucene.search.ExactPhraseScorer,2,3,0,8,8,1,2,6,0,2,61,0,0,0.952380952,0.583333333,1,1,29.5,1,0.5,1
lucene,2,org.apache.lucene.index.SegmentInfo,1,1,0,5,2,0,4,1,1,2,16,0,1,0,1,0,0,12,0,0,6
lucene,2,org.apache.lucene.store.BufferedIndexInput,9,2,3,4,14,0,3,1,6,0.575,204,0.8,0,0.619047619,0.416666667,1,4,21.11111111,2,1,3
lucene,2,org.apache.lucene.index.TermInfosWriter,6,1,0,8,29,0,2,6,0,0.436363636,383,0.727272727,5,0,0.479166667,0,0,61,1,0.6667,2
lucene,2,org.apache.lucene.search.MultiSearcher,15,2,1,19,50,0,2,18,13,0.476190476,557,1,1,0.611111111,0.251851852,1,5,35.93333333,6,1.2667,3
lucene,2,org.apache.lucene.analysis.standard.ParseException,5,4,0,2,18,0,1,1,4,0.55,380,0.4,1,0.866666667,0.4,1,1,74,14,4.8,1
lucene,2,org.apache.lucene.search.MultiPhraseQuery,17,2,0,12,55,12,3,10,13,0.625,404,1,0,0.428571429,0.158823529,2,4,22.52941176,7,2.0588,1
lucene,2,org.apache.lucene.store.IndexOutput,14,1,1,18,17,91,18,0,14,2,189,0,0,0,0.297619048,0,0,12.5,1,0.9286,1
lucene,2,org.apache.lucene.search.spans.SpanNearQuery,12,3,0,7,46,0,1,7,12,0.613636364,343,1,0,0.592592593,0.208333333,2,2,27.25,7,1.75,1
lucene,2,org.apache.lucene.document.Document,14,1,0,23,35,0,22,1,14,0.5,341,0.5,0,0,0.428571429,0,0,23.21428571,5,2.5714,1
lucene,2,org.apache.lucene.queryParser.QueryParserTokenManager,36,1,0,5,52,282,1,4,7,0.720300752,2855,0.210526316,1,0,0.405714286,0,0,77.77777778,102,7.0556,4
lucene,2,org.apache.lucene.search.SloppyPhraseScorer,2,3,0,8,11,0,2,6,0,0,106,1,0,0.952380952,0.571428571,1,1,51.5,1,0.5,1
lucene,2,org.apache.lucene.index.FieldsReader,5,1,0,10,36,2,1,9,0,0.625,319,1,3,0,0.333333333,0,0,62,1,0.8,9
lucene,2,org.apache.lucene.util.BitVector,9,1,0,5,18,0,2,3,8,0.5,1224,1,0,0,0.5,0,0,134.5555556,3,1,2
lucene,2,org.apache.lucene.store.RAMDirectory,16,2,0,10,41,10,2,9,15,0.133333333,257,0,0,0.5,0.375,0,0,15,2,0.875,12
lucene,2,org.apache.lucene.index.MultipleTermPositions,10,1,0,8,33,25,1,7,10,0.722222222,178,1,2,0,0.228571429,0,0,16.4,1,0.9,2
lucene,2,org.apache.lucene.queryParser.QueryParser,52,1,1,30,129,888,1,29,32,0.873873874,2830,0.648648649,11,0,0.132730015,0,0,52.71153846,23,2.6731,7
lucene,2,org.apache.lucene.search.TermQuery,8,2,0,14,22,0,9,6,6,0.142857143,100,1,1,0.631578947,0.232142857,2,2,11.375,4,1.375,1
lucene,2,org.apache.lucene.store.Directory,12,1,3,35,13,66,32,3,12,2,15,0,0,0,0.875,0,0,0.25,1,0.9167,6
lucene,2,org.apache.lucene.search.spans.SpanOrQuery,11,3,0,8,42,0,3,6,10,0.45,285,1,0,0.615384615,0.220779221,2,2,24.72727273,7,1.7273,1
lucene,2,org.apache.lucene.search.WildcardQuery,3,3,0,6,7,3,1,5,2,2,23,0,0,0.9,0.5,1,1,6.666666667,2,1,1
lucene,2,org.apache.lucene.index.SegmentMerger,18,1,0,21,93,0,1,21,0,0.701960784,1039,1,8,0,0.188888889,0,0,55.88888889,1,0.8889,8
lucene,2,org.apache.lucene.search.DisjunctionMaxScorer,11,2,0,4,25,0,1,3,7,0.65,434,1,0,0.444444444,0.287878788,1,3,38.09090909,6,1.5455,2
lucene,2,org.apache.lucene.search.CachingWrapperFilter,5,2,0,2,16,0,0,2,5,0.5,102,1,1,0.2,0.4,1,1,19,2,1,3
lucene,2,org.apache.lucene.store.RAMFile,1,1,0,3,4,0,3,0,0,2,15,0,0,0,1,0,0,11,0,0,1
lucene,2,org.apache.lucene.index.IndexWriter,48,1,0,21,119,742,8,20,32,0.89106383,1211,0.64,6,0,0.115277778,0,0,23.70833333,2,0.9792,22
lucene,2,org.apache.lucene.index.TermInfosReader,16,1,0,8,34,62,2,6,3,0.686666667,461,1,6,0,0.28125,0,0,27.1875,4,1.1875,4
lucene,2,org.apache.lucene.search.PhraseScorer,13,2,2,9,34,0,2,7,6,0.675925926,342,1,4,0.4,0.21978022,1,3,24.61538462,3,1.1538,1
lucene,2,org.apache.lucene.store.RAMOutputStream,8,3,0,5,21,4,2,3,7,0.357142857,188,1,1,0.777777778,0.270833333,1,2,22.25,5,1.25,4
lucene,2,org.apache.lucene.index.FieldInfo,1,1,0,6,2,0,6,0,0,2,32,0,0,0,1,0,0,24,0,0,1
lucene,2,org.apache.lucene.search.BooleanScorer2,20,2,0,15,52,86,5,14,9,0.669172932,449,1,3,0.32,0.223684211,1,3,21.1,6,1.75,4
lucene,2,org.apache.lucene.analysis.Token,9,1,0,13,16,0,13,0,9,0.6,152,0.2,0,0,0.518518519,1,1,15.33333333,3,1.1111,2
lucene,2,org.apache.lucene.index.DocumentWriter,10,1,0,18,87,0,1,18,0,0.700854701,990,1,5,0,0.254545455,0,0,96.7,10,2.4,6
lucene,2,org.apache.lucene.search.BooleanScorer,11,2,0,8,28,15,2,7,7,0.644444444,440,1,3,0.444444444,0.287878788,1,3,38.18181818,2,1.1818,1
lucene,2,org.apache.lucene.search.QueryFilter,5,2,0,6,20,0,1,6,5,0.375,118,1,1,0.2,0.4,1,1,22.2,2,1,2
lucene,2,org.apache.lucene.search.ConjunctionScorer,12,2,1,7,33,0,4,4,6,0.545454545,237,1,0,0.421052632,0.283333333,1,3,18.41666667,2,1,1
lucene,2,org.apache.lucene.queryParser.QueryParserConstants,1,1,0,2,1,0,2,0,0,2,169,0,0,0,0,0,0,132,0,0,1
lucene,2,org.apache.lucene.index.IndexFileNames,2,1,0,3,3,1,3,0,0,1.4,112,0,0,0,1,0,0,52.5,0,0,2
lucene,2,org.apache.lucene.index.SegmentInfos,6,4,0,13,30,3,9,4,5,0.6,216,0.333333333,0,0.94047619,0.5,0,0,34.5,1,0.8333,7
lucene,2,org.apache.lucene.search.MatchAllDocsQuery,6,2,0,6,14,15,2,5,5,2,57,0,0,0.705882353,0.333333333,2,3,8.5,3,1.1667,1
lucene,2,org.apache.lucene.search.FuzzyQuery,10,3,0,13,42,7,1,12,9,0.638888889,280,0.5,0,0.72,0.285714286,3,4,26.6,6,1.4,1
lucene,2,org.apache.lucene.analysis.standard.CharStream,10,1,0,3,10,45,3,0,10,2,10,0,0,0,0.6,0,0,0,1,1,1
lucene,2,org.apache.lucene.search.FieldCacheImpl,14,1,0,12,51,67,1,12,8,0.641025641,764,0.666666667,2,0,0.401709402,0,0,53.35714286,2,1.1429,2
lucene,2,org.apache.lucene.index.IndexModifier,26,1,0,7,55,0,0,7,22,0.344,707,1,4,0,0.184615385,0,0,25.80769231,2,1.1538,2
lucene,2,org.apache.lucene.index.SegmentTermEnum,13,2,0,9,38,0,3,6,4,0.75,354,0.571428571,6,0.294117647,0.211538462,1,2,25.15384615,1,0.9231,2
lucene,2,org.apache.lucene.search.Searchable,10,1,0,16,10,45,6,10,10,2,10,0,0,0,0.288888889,0,0,0,1,1,2
lucene,2,org.apache.lucene.index.SegmentTermPositionVector,4,2,0,4,5,0,1,3,3,0.666666667,65,0.666666667,1,0.777777778,0.476190476,0,0,14.5,4,2,1
lucene,2,org.apache.lucene.index.MultiReader,26,2,0,15,56,0,1,14,17,0.668571429,601,1,1,0.696202532,0.174825175,1,5,21.84615385,6,1.3462,9
lucene,2,org.apache.lucene.search.spans.SpanScorer,7,2,0,6,25,0,1,5,5,0.520833333,201,1,2,0.571428571,0.30952381,1,3,26.57142857,1,0.8571,2
lucene,2,org.apache.lucene.search.spans.SpanWeight,7,1,0,11,37,0,1,11,7,0.69047619,348,1,2,0,0.30952381,0,0,47.71428571,1,0.8571,2
lucene,2,org.apache.lucene.search.PhrasePositions,5,1,0,5,12,0,4,1,0,0.583333333,94,0,2,0,0.533333333,0,0,16.6,1,0.8,1
lucene,2,org.apache.lucene.index.FieldInfos,19,1,0,18,51,145,12,6,15,0.920634921,437,0.285714286,0,0,0.257309942,0,0,21.63157895,7,1.4737,1
lucene,2,org.apache.lucene.index.CompoundFileWriter,6,1,0,6,39,0,1,5,5,0.6,337,1,1,0,0.333333333,0,0,54.33333333,4,1.3333,1
lucene,2,org.apache.lucene.index.ParallelReader,27,2,0,13,80,193,3,13,21,0.814102564,479,1,0,0.679012346,0.181481481,1,6,16.51851852,2,1.037,6
lucene,2,org.apache.lucene.search.FilteredQuery,9,2,0,8,25,0,1,8,8,0.3125,133,0,2,0.6,0.222222222,2,4,13.55555556,4,1.2222,4
lucene,2,org.apache.lucene.search.Similarity,16,1,2,42,25,108,40,4,15,0.866666667,91,1,1,0,0.185185185,0,0,4.5625,1,0.875,3
lucene,2,org.apache.lucene.store.Lock,6,1,2,16,14,13,16,0,5,0.8,58,0,0,0,0.6,0,0,8.5,1,0.6667,2
lucene,2,org.apache.lucene.search.Hit,8,1,0,3,19,2,1,2,6,0.178571429,116,1,2,0,0.34375,0,0,13,2,1,1
lucene,2,org.apache.lucene.search.DisjunctionMaxQuery,14,2,0,6,38,0,1,6,11,0.384615385,318,1,0,0.5,0.171428571,2,5,21.57142857,6,1.5714,1
lucene,2,org.apache.lucene.index.FieldsWriter,4,1,0,7,38,0,2,5,0,0.888888889,224,0.5,3,0,0.375,0,0,53.5,2,1,2
lucene,2,org.apache.lucene.index.SegmentTermPositions,8,2,0,5,17,0,1,5,4,0.523809524,108,1,1,0.611111111,0.3,1,3,12.125,1,0.875,4
lucene,2,org.apache.lucene.index.SegmentReader,40,2,0,29,123,576,6,26,19,0.883861237,1200,0.470588235,8,0.591397849,0.136752137,1,5,28.575,26,1.75,11
